"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2009,9,432.421599306073,446.218321162561,394.01488358453,7.21454545454545,7.23454545454545,7.21363636363636,7.63636363636364
2009,10,435.036127316505,446.218321162561,392.655500336,6.5652380952381,6.54428571428571,6.5452380952381,7.01761904761905
2009,11,433.606603297822,446.474184841593,393.512284319185,6.27681818181818,6.34454545454545,6.28272727272727,6.97454545454545
2009,12,433.344479949835,446.388969668137,394.300182503103,6.11238095238095,6.04666666666667,6.05714285714286,7.13
2010,1,436.445503624091,447.827843413347,393.487749759131,5.817,5.8635,5.803,7.069
2010,2,435.036127316505,448.079627012581,394.604590298679,5.6545,5.723,5.653,6.9005
2010,3,435.550928968245,448.747967010788,393.013490694364,5.36727272727273,5.37454545454545,5.32272727272727,6.25636363636364
2010,4,437.458170505884,449.329122652265,393.206071547133,4.95095238095238,4.94619047619048,4.95571428571429,5.59
2010,5,442.492996866256,450.235597750916,397.02099142515,5.0045,4.9945,5.0595,6.229
2010,6,442.373164617045,450.39953221386,398.809078984276,5.27909090909091,5.25954545454545,5.32909090909091,6.87272727272727
2010,7,441.892394460235,450.563198371507,399.416040478712,5.42727272727273,5.40954545454545,5.50545454545455,7.045
2010,8,444.391037238508,449.989191055401,398.937964788931,5.42714285714286,5.44809523809524,5.53190476190476,6.82761904761905
2010,9,443.208990378465,449.824581964734,399.231184152128,5.44863636363636,5.54727272727273,5.74818181818182,6.87909090909091
2010,10,444.273459329607,450.235597750916,396.306274239457,5.30285714285714,5.43904761904762,5.69904761904762,6.45666666666667
2010,11,446.599145546033,450.563198371507,396.878065101713,5.37086956521739,5.54434782608696,5.85652173913043,6.95173913043478
2010,12,439.822935335951,450.971195673498,397.581031255225,5.71272727272727,5.89818181818182,6.13,7.71136363636364
2011,1,447.286433474809,451.701422042038,397.213445755225,5.78571428571429,5.7952380952381,6.03238095238095,7.2952380952381
2011,2,448.646998680387,452.104811052132,395.700041925758,5.876,5.914,5.947,6.882
2011,3,445.210234329967,453.225719505604,395.133525406392,5.92047619047619,5.8747619047619,5.88380952380952,6.76857142857143
2011,4,445.791293489513,453.860642273469,393.119727283562,5.8515,5.862,5.9305,6.5165
2011,5,443.919893846376,454.097702834903,393.769965527185,5.86136363636364,5.86863636363636,5.89090909090909,6.51636363636364
2011,6,444.273459329607,453.860642273469,393.690430488428,5.86476190476191,5.86380952380952,5.92523809523809,6.60714285714286
2011,7,445.559274823943,453.543684797342,394.095900932083,5.80761904761905,5.78047619047619,5.84428571428571,6.62809523809524
2011,8,444.976861995344,453.464288207224,395.515768387639,5.82782608695652,5.83652173913043,5.87565217391304,6.60086956521739
2011,9,446.368995847205,453.384828528828,399.352312067055,5.78318181818182,5.80818181818182,5.85636363636364,6.44863636363636
2011,10,447.057861946724,454.097702834903,402.77800337914,6.05,6.1335,6.268,7.043
2011,11,450.100350142004,454.727130562042,406.503326463101,6.53238095238095,6.72857142857143,6.96380952380952,8.1452380952381
2011,12,446.48413690771,454.962148296537,405.221917577244,7.19380952380952,7.3352380952381,7.49095238095238,8.39666666666667
2012,1,445.443063305926,456.976159051449,406.493243468616,7.76136363636364,7.96227272727273,8.34681818181818,9.36454545454546
2012,2,446.022775074358,457.816179263976,401.698032851256,7.29190476190476,7.38714285714286,7.67714285714286,8.21761904761905
2012,3,445.67535144754,458.573758644822,402.100673826904,7.1985,7.339,7.4875,8.4135
2012,4,443.208990378465,459.400520212448,403.187298306296,7.32388888888889,7.36722222222222,7.56333333333333,8.59777777777778
2012,5,446.599145546033,459.17571682066,402.707204216871,7.13380952380952,7.25,7.36761904761905,8.08238095238095
2012,6,443.801760341793,459.250707450346,402.897382262797,7.14857142857143,7.16809523809524,7.48619047619048,8.07428571428571
2012,7,444.03788796036,459.17571682066,401.24982647758,6.97227272727273,6.99045454545455,7.09045454545455,7.295
2012,8,447.514483744682,459.325641886224,399.121915035854,6.79409090909091,6.79636363636364,6.90318181818182,6.89772727272727
2012,9,446.599145546033,459.774073130957,400.362916298431,6.6035,6.6105,6.662,6.6535
2012,10,443.801760341793,459.923104455113,399.665332551154,6.16217391304348,6.16739130434783,6.21086956521739,6.31869565217391
2012,11,443.090013564906,459.774073130957,399.680496348885,5.96,5.934,5.9345,5.988
2012,12,445.093616240948,459.848616555952,400.215358890886,5.59882352941176,5.58529411764706,5.64411764705882,5.76
2013,1,444.155743012305,460.664947619868,402.258782645237,5.37863636363636,5.32,5.36590909090909,5.53409090909091
2013,2,443.683487116888,460.591010463081,401.581124086182,5.15,5.129,5.0825,5.372
2013,3,444.155743012305,460.81265813417,404.777838991071,4.78473684210526,4.80368421052632,4.71473684210526,5.22578947368421
2013,4,444.625779130338,461.033815614653,403.36569043737,4.38190476190476,4.2847619047619,4.17619047619048,4.71047619047619
2013,5,444.155743012305,460.960150786276,401.46459869797,4.10619047619048,4.08761904761905,3.97666666666667,4.48619047619048
2013,6,444.742943760027,461.180982675799,402.215999179714,4.2375,4.223,4.319,5.014
2013,7,446.138315237414,460.886431652823,401.906229072853,4.05478260869565,4.07521739130435,4.1904347826087,4.64217391304348
2013,8,448.534322612128,460.664947619868,403.172654150868,3.952,3.952,4.0015,4.94
2013,9,449.432196208656,461.107426217904,403.34093660835,3.65380952380952,3.72,3.80238095238095,4.86238095238095
2013,10,449.20848246882,460.81265813417,401.919713596446,3.36409090909091,3.38136363636364,3.41727272727273,4.35727272727273
2013,11,448.984267128251,460.738830150011,402.571752613579,3.0025,3.028,3.2335,4.188
2013,12,449.432196208656,460.220502443826,403.051435939988,2.89941176470588,2.96294117647059,3.09117647058824,4.10411764705882
